author,author-pid,top_venue_count,total_weight,closeness_centrality,normalized_degree_centrality
Debdeep Mukhopadhyay,85/3079,0,89,0.27918652864355625,0.009068677399633178
Jakub Breier,05/10163,0,71,0.2777060771000505,0.0072345628693702875
Subhamoy Maitra,35/4372,0,68,0.2583052793653279,0.006928877114326473
Farhad Merchant,141/0649,0,71,0.24212328767123287,0.0072345628693702875
S. K. Nandy,n/SKNandy,0,69,0.2421173650351019,0.007030772366007744
Rainer Leupers,14/6306,0,139,0.24391325776244455,0.01416343998369676
Goutam Paul 0001,67/1220,0,63,0.2542642827784628,0.006419400855920114
Gerd Ascheid,1255006,0,132,0.24390123700162633,0.013450173221927857
Alok Prakash,58/7646,0,105,0.25798212005108556,0.010699001426533523
David Kammler,20/3849,0,78,0.24217660443835481,0.00794782963113919
Heinrich Meyr,72/1999,0,99,0.24220030831722417,0.010087629916445894
David Eckhoff,42/9851,0,73,0.2619558025671563,0.007438353372732831
Karl Aberer,a/KarlAberer,0,83,0.2853107344632768,0.008457305889545547
Hui Fang 0002,03/2511-2,0,96,0.31038916240709963,0.009781944161402078
Insik Shin,45/4154,0,69,0.22922649374710513,0.007030772366007744
Xinrun Wang,199/6413,0,69,0.2616303658278706,0.007030772366007744
Milind Tambe,67/2667,0,166,0.2589337100402867,0.016914611779091093
Wei Xia,77/1243,0,75,0.28544238089745066,0.007642143876095374
Xiaohong Li 0001,08/2489-1,0,89,0.2814330395223202,0.009068677399633178
Lizhen Cui,82/5713,0,162,0.30691472868217057,0.016507030772366007
Cyril Leung,76/3131,0,390,0.34574542406036046,0.039739148155695944
Qiong Wu 0001,54/4158-1,0,73,0.2992864054184809,0.007438353372732831
Angela Goh,g/AngelaGoh,0,63,0.3031639560170296,0.006419400855920114
Yuan Miao 0001,74/1798-1,0,91,0.30939951861461035,0.009272467902995721
Xinyi Zhang,836133,0,63,0.2697296708088075,0.006419400855920114
Simon See,62/6547,0,63,0.3030711289384243,0.006419400855920114
Jianfeng Wang,65/4872,0,64,0.2994040957076742,0.0065212961076013855
Chuan Heng Foh,17/6484,0,185,0.325228363015049,0.018850621561035254
Wen Gao 0001,g/WenGao,0,121,0.32878259425344625,0.01232932545343387
Xiao Liu,82/1364,0,65,0.29288356265719784,0.006623191359282657
Chenwei Deng,73/8538,0,92,0.31872484302044757,0.009374363154676992
Guangtao Zhai,19/3230,0,144,0.29502235469448584,0.014672916242103118
Xiaokang Yang,427852,0,250,0.3039272883593822,0.025473812920317914
Wenjun Zhang 0001,46/3359-1,0,104,0.2924508790072389,0.010597106174852253
Chang Wen Chen,29/4638,0,68,0.306449116071705,0.006928877114326473
Philipp Andelfinger,17/8472,0,71,0.2563319003470244,0.0072345628693702875
Alois C. Knoll,k/AloisKnoll,0,97,0.25636509622108833,0.00988383941308335
Linbo Luo,53/803,0,107,0.28619343646089346,0.010902791929896067
Jinghui Zhong,56/443,0,90,0.3100003131949012,0.009170572651314449
Liang Feng,1381166,0,180,0.3245671563483736,0.018341145302628897
Michael Harold Lees,97/1049,0,123,0.28690686686570627,0.012533115956796414
Zengxiang Li,95/6812,0,113,0.31814091025970687,0.011514163439983696
