author,author-pid,year,Position,Gender,Management,Area,top_venue_count,co-author-pid,weight,paper-list,Faculty-co-author,Position-co-author,Gender-co-author,Management-co-author,Area-co-author
Dusit Niyato,76/440,2019.0,Professor,M,N,Computer Networks,0.0,10/1993,1.0,['journals/corr/abs-1911-03298'],,,,,
Adams Wai-Kin Kong,16/3792,2019.0,Associate Professor,M,N,Computer Vision,0.0,10/1993,2.0,"['conf/bmvc/HuangKL19', 'conf/pricai/HuangKL19']",,,,,
Han Yu 0001,35/1096-1,2019.0,Assistant Professor,M,N,AI/ML,0.0,10/1993,1.0,['journals/corr/abs-1911-12060'],,,,,
Wooi Boon Goh,97/6922,2019.0,Associate Professor,M,N,HCI,0.0,95/7006,1.0,['conf/bhi/FahimiZGAG19'],Guan Cuntai,Professor,M,N,AI/ML
Cuntai Guan,95/7006,2019.0,Professor,M,N,AI/ML,0.0,97/6922,1.0,['conf/bhi/FahimiZGAG19'],Goh Wooi Boon,Associate Professor,M,N,HCI
Kheng Leong Tan,242/0323,2019.0,Lecturer,M,N,Cyber Security,0.0,97/6922,1.0,['conf/educon/TanG19'],Goh Wooi Boon,Associate Professor,M,N,HCI
Wooi Boon Goh,97/6922,2019.0,Associate Professor,M,N,HCI,0.0,242/0323,1.0,['conf/educon/TanG19'],Tan Kheng Leong,Lecturer,M,N,Cyber Security
Jianmin Zheng,09/5452,2019.0,Associate Professor,M,N,Computer Graphics,0.0,h/YingHe1,1.0,['journals/cad/YeLZHH19'],He Ying,Associate Professor,M,N,Computer Graphics
Jun Luo 0001,42/2501-1,2019.0,Associate Professor,M,N,Computer Networks,0.0,h/YingHe1,2.0,"['journals/cviu/LuDLCYH19', 'journals/iotj/LiHWLHYC19']",He Ying,Associate Professor,M,N,Computer Graphics
Luu Anh Tuan,81/8329,2019.0,Assistant Professor,M,N,AI/ML,1.0,65/3225,6.0,"['conf/aaai/Tay0LHYV19', 'conf/acl/TayZLRZWFH19', 'conf/acl/TayWLFPYRHZ19', 'conf/nips/TayLZWH19', 'journals/corr/abs-1905-10847', 'journals/corr/abs-1906-04393']",Hui Siu Cheung,Associate Professor,M,N,Information Retrieval
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,65/3225,2.0,"['conf/icde/WangXYZHSS019', 'journals/corr/abs-1907-00782']",Hui Siu Cheung,Associate Professor,M,N,Information Retrieval
Siu Cheung Hui,65/3225,2019.0,Associate Professor,M,N,Information Retrieval,0.0,81/8329,6.0,"['conf/aaai/Tay0LHYV19', 'conf/acl/TayZLRZWFH19', 'conf/acl/TayWLFPYRHZ19', 'conf/nips/TayLZWH19', 'journals/corr/abs-1905-10847', 'journals/corr/abs-1906-04393']",Luu Anh Tuan,Assistant Professor,M,N,AI/ML
Shafiq R. Joty,62/2078,2019.0,Assistant Professor,M,N,AI/ML,0.0,b/SSBhowmick,1.0,['conf/sigmod/LiuBZWHJ19'],Sourav S Bhowmick,Associate Professor,M,N,Data Management
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,b/SSBhowmick,2.0,"['conf/sigmod/YangXWBZL19', 'journals/corr/abs-1904-02707']",Sourav S Bhowmick,Associate Professor,M,N,Data Management
Kwok-Yan Lam,10/1993,2019.0,Professor,M,N,Cyber Security,0.0,16/3792,2.0,"['conf/bmvc/HuangKL19', 'conf/pricai/HuangKL19']",Kong Wai-Kin Adams,Associate Professor,M,N,Computer Vision
Rui Tan,00/5179,2019.0,Assistant Professor,M,N,Computer Architecture,0.0,16/3792,2.0,"['conf/mobicom/YanSTLK19', 'journals/corr/abs-1902-07057']",Kong Wai-Kin Adams,Associate Professor,M,N,Computer Vision
Siew-Kei Lam,74/1907,2019.0,Assistant Professor,M,N,Computer Architecture,0.0,23/1694,1.0,['conf/socc/KadiyalaPGNLS19'],Thambipillai Srikanthan,Professor,M,Y,Computer Architecture
Thambipillai Srikanthan,23/1694,2019.0,Professor,M,Y,Computer Architecture,0.0,74/1907,1.0,['conf/socc/KadiyalaPGNLS19'],Lam Siew Kei,Assistant Professor,M,N,Computer Architecture
Zinovi Rabinovich,93/4009,2019.0,Assistant Professor,M,N,AI/ML,0.0,12/9925,6.0,"['conf/atal/LuZROV19', 'conf/ijcai/ElkindGORV19', 'journals/corr/abs-1905-04933', 'journals/corr/abs-1905-07173', 'journals/corr/abs-1906-07071', 'journals/corr/abs-1911-12472']",,,,,
Jun Zhao 0007,47/2026-7,2019.0,Assistant Professor,M,N,Computer Networks,0.0,87/4982-1,1.0,['conf/infocom/ShiXLLZ19'],Li Mo,Associate Professor,M,N,Computer Networks
Yi Li 0008,59/871-8,2019.0,Assistant Professor,M,N,Software Engg,0.0,55/4730-1,1.0,['conf/icse/WangLLML19'],Lin Shang-Wei,Assistant Professor,M,N,Software Engg
